player_name,position,overall,total_shots,made_shots,3P,2P,restricted_area,in_paint,left_mid,center_mid,right_mid,right_corner,left_corner,right_wing,left_wing,top_3,deep_3
Isaiah Hartenstein,Center-Forward,0.644,365,235,0.333,0.646,0.694,0.521,0.75,0.4,0.0,0.0,0.0,0.0,0.0,0.333,0.333
Sam Hauser,Forward,0.446,558,249,0.424,0.559,0.609,0.5,0.4,0.25,0.8,0.514,0.451,0.426,0.406,0.361,0.404
Jordan Hawkins,Guard,0.382,456,174,0.366,0.411,0.523,0.364,0.385,0.286,0.389,0.368,0.556,0.243,0.358,0.434,0.338
Jaxson Hayes,Center-Forward,0.72,175,126,0.0,0.754,0.803,0.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Killian Hayes,Guard,0.413,283,117,0.297,0.455,0.72,0.429,0.379,0.333,0.533,0.182,0.6,0.263,0.222,0.312,0.264
Scoot Henderson,Guard,0.385,797,307,0.325,0.416,0.473,0.379,0.48,0.5,0.237,0.286,0.35,0.316,0.359,0.322,0.332
Taylor Hendricks,Forward,0.45,240,108,0.379,0.55,0.704,0.424,0.2,0.4,0.0,0.419,0.455,0.292,0.308,0.357,0.312
Tyler Herro,Guard,0.441,735,324,0.396,0.478,0.518,0.519,0.414,0.385,0.324,0.531,0.2,0.382,0.304,0.451,0.39
Buddy Hield,Guard,0.436,850,371,0.386,0.539,0.612,0.426,0.5,0.5,0.167,0.455,0.444,0.4,0.345,0.387,0.371
Haywood Highsmith,Forward,0.465,329,153,0.396,0.562,0.603,0.556,0.286,0.0,0.5,0.378,0.468,0.375,0.352,0.429,0.37
Aaron Holiday,Guard,0.446,417,186,0.387,0.51,0.648,0.393,0.455,0.444,0.643,0.516,0.389,0.37,0.389,0.339,0.365
Jrue Holiday,Guard,0.48,689,331,0.429,0.526,0.642,0.479,0.414,0.538,0.25,0.625,0.588,0.387,0.284,0.45,0.361
Richaun Holmes,Forward,0.558,147,82,0.333,0.562,0.67,0.349,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0
Chet Holmgren,Center-Forward,0.53,953,505,0.37,0.623,0.729,0.51,0.5,0.294,0.455,0.222,0.333,0.382,0.431,0.328,0.38
Jalen Hood-Schifino,Guard,0.222,45,10,0.133,0.267,0.375,0.143,0.0,0.5,0.5,0.0,0.0,0.167,0.167,0.0,0.143
Al Horford,Center-Forward,0.511,419,214,0.419,0.658,0.755,0.489,0.75,1.0,0.25,0.459,0.432,0.357,0.425,0.442,0.399
Talen Horton-Tucker,Guard,0.396,465,184,0.33,0.438,0.564,0.382,0.062,0.0,0.5,0.25,0.409,0.421,0.254,0.366,0.331
Caleb Houstan,Guard,0.388,206,80,0.373,0.615,0.714,0.667,1.0,0.0,0.0,0.424,0.381,0.429,0.298,0.345,0.356
Jett Howard,Guard,0.333,30,10,0.28,0.6,0.667,1.0,0.0,0.0,0.0,0.0,0.0,0.429,0.3,0.167,0.318
